# METADATA
title,Ode to Joy (Fragment)
composer,Ludwig van Beethoven
arranger,
tempo,108
time_signature,4/4
key_signature,C_MAJOR

# TRACKS
# track_id, name, instrument, clef, midi_channel, transpose
track_id,name,instrument,clef,midi_channel,transpose
1,Melody,Acoustic Grand Piano,treble,1,0
2,Bass,Acoustic Grand Piano,bass,2,0

# NOTES
# track_id, measure, voice, note, octave, duration_num, duration_den, dots, dynamic, articulation, tied, slur_start, slur_end
track_id,measure,voice,note,octave,duration_num,duration_den,dots,dynamic,articulation,tied,slur_start,slur_end
1,1,1,E,4,1,4,0,mf,,false,false,f
alse
1,1,1,E,4,1,4,0,,,false,false,false
1,1,1,F,4,1,4,0,,,false,false,false
1,1,1,G,4,1,4,0,,,false,false,false
1,2,1,G,4,1,4,0,,,false,false,false
1,2,1,F,4,1,4,0,,,false,false,false
1,2,1,E,4,1,4,0,,,false,false,false
1,2,1,D,4,1,4,0,,,false,false,false
1,3,1,C,4,1,4,0,,,false,false,false
1,3,1,C,4,1,4,0,,,false,false,false
1,3,1,D,4,1,4,0,,,false,false,false
1,3,1,E,4,1,4,0,,,false,false,false
1,4,1,E,4,1,2,1,f,,false,false,false
1,4,1,D,4,1,4,0,,,false,false,false
2,1,1,C,3,1,1,0,mf,,false,false,false
2,2,1,G,2,1,1,0,,,false,false,false
2,3,1,C,3,1,1,0,,,false,false,false
2,4,1,G,2,1,1,0,f,,false,false,false
